Date,Open,High,Low,Close,Adj Close,Volume
2008-11-19,2.700000,2.700000,2.120000,2.280000,2.063804,35200
2008-11-20,2.240000,2.300000,2.000000,2.000000,1.810354,75400
2008-11-21,2.080000,2.280000,1.950000,2.050000,1.855614,41200
2008-11-24,2.150000,2.300000,2.000000,2.220000,2.009493,32000
2008-11-25,2.110000,2.200000,2.060000,2.200000,1.991390,35600
2008-11-26,2.200000,2.360000,2.120000,2.360000,2.136218,36200
2008-11-28,2.330000,2.380000,2.310000,2.350000,2.127167,5900
2008-12-01,2.300000,2.310000,2.170000,2.250000,2.036649,26900
2008-12-02,2.170000,2.500000,2.150000,2.500000,2.262943,25700
2008-12-03,2.420000,2.420000,2.200000,2.280000,2.063804,52800
2008-12-04,2.320000,2.320000,2.130000,2.150000,1.946131,35000
2008-12-05,2.190000,2.190000,2.000000,2.020000,1.828458,77700
2008-12-08,2.160000,2.160000,1.960000,2.000000,1.810354,49100
2008-12-09,2.040000,2.090000,1.960000,1.990000,1.801303,49300
2008-12-10,2.000000,2.050000,1.980000,2.040000,1.846561,33800
2008-12-11,2.030000,2.030000,2.000000,2.020000,1.828458,40400
2008-12-12,2.000000,2.110000,1.950000,2.110000,1.909924,53300
2008-12-15,2.060000,2.120000,1.880000,1.950000,1.765095,43300
2008-12-16,2.000000,2.000000,1.860000,1.870000,1.692682,67200
2008-12-17,1.780000,1.920000,1.760000,1.830000,1.656475,22300
2008-12-18,1.850000,1.860000,1.780000,1.780000,1.611215,35700
2008-12-19,1.820000,1.860000,1.660000,1.860000,1.683630,54200
2008-12-22,1.840000,1.930000,1.730000,1.780000,1.611215,195300
2008-12-23,1.770000,1.970000,1.750000,1.800000,1.629319,301300
2008-12-24,1.810000,1.980000,1.810000,1.950000,1.765095,38300
2008-12-26,1.930000,2.000000,1.920000,1.930000,1.746992,13300
2008-12-29,1.990000,1.990000,1.750000,1.860000,1.683630,83000
2008-12-30,1.880000,1.940000,1.830000,1.840000,1.665526,41300
2008-12-31,1.790000,2.050000,1.790000,2.010000,1.819406,60600
2009-01-02,2.010000,2.150000,2.010000,2.140000,1.937080,41900
2009-01-05,2.130000,2.390000,2.100000,2.280000,2.063804,66000
2009-01-06,2.390000,2.390000,2.290000,2.340000,2.118114,39900
2009-01-07,2.260000,2.330000,2.210000,2.250000,2.036649,20000
2009-01-08,2.260000,2.450000,2.260000,2.410000,2.181478,58700
2009-01-09,2.360000,2.470000,2.340000,2.430000,2.199582,19300
2009-01-12,2.360000,2.480000,2.260000,2.410000,2.181478,22700
2009-01-13,2.400000,2.490000,2.340000,2.480000,2.244839,27600
2009-01-14,2.440000,2.590000,2.410000,2.590000,2.344410,49100
2009-01-15,2.520000,2.560000,2.330000,2.460000,2.226736,36200
2009-01-16,2.410000,2.430000,2.260000,2.290000,2.072856,17400
2009-01-20,2.260000,2.290000,2.150000,2.160000,1.955184,25300
2009-01-21,2.160000,2.420000,2.150000,2.420000,2.190529,33000
2009-01-22,2.320000,2.400000,2.210000,2.360000,2.136218,9300
2009-01-23,2.240000,2.350000,2.240000,2.310000,2.090960,16800
2009-01-26,2.260000,2.300000,2.200000,2.240000,2.027597,21500
2009-01-27,2.260000,2.340000,2.090000,2.290000,2.072856,26400
2009-01-28,2.250000,2.290000,2.210000,2.290000,2.072856,4800
2009-01-29,2.400000,2.400000,2.090000,2.250000,2.036649,34700
2009-01-30,2.200000,2.220000,2.000000,2.210000,2.000442,32300
2009-02-02,2.290000,2.290000,1.900000,2.100000,1.900872,51200
2009-02-03,2.150000,2.330000,1.950000,2.140000,1.937080,68600
2009-02-04,2.090000,2.270000,2.030000,2.070000,1.873717,71000
2009-02-05,2.230000,2.230000,2.150000,2.170000,1.964235,151200
2009-02-06,2.150000,2.270000,1.930000,2.040000,1.846561,119900
2009-02-09,2.000000,2.030000,1.930000,1.990000,1.801303,80000
2009-02-10,2.010000,2.020000,1.900000,1.910000,1.728889,27200
2009-02-11,1.970000,1.970000,1.800000,1.910000,1.728889,43500
2009-02-12,2.050000,2.050000,1.790000,1.850000,1.674578,15600
2009-02-13,1.860000,2.100000,1.860000,1.960000,1.774148,6600
2009-02-17,2.040000,2.130000,1.960000,2.030000,1.837510,29800
2009-02-18,2.030000,2.030000,1.910000,1.940000,1.756044,4500
2009-02-19,1.980000,1.990000,1.930000,1.940000,1.756044,8600
2009-02-20,1.890000,1.950000,1.790000,1.910000,1.728889,11800
2009-02-23,1.800000,1.870000,1.360000,1.730000,1.565957,182600
2009-02-24,1.650000,1.750000,1.580000,1.650000,1.493542,38000
2009-02-25,1.740000,1.740000,1.500000,1.580000,1.430180,56900
2009-02-26,1.540000,1.540000,1.100000,1.500000,1.357766,299400
2009-02-27,1.660000,2.450000,1.450000,2.400000,2.172425,196200
2009-03-02,2.450000,2.450000,1.830000,2.010000,1.819406,106300
2009-03-03,1.960000,1.990000,1.680000,1.680000,1.520698,77700
2009-03-04,1.630000,1.810000,1.630000,1.770000,1.602164,80700
2009-03-05,1.650000,1.740000,1.540000,1.680000,1.520698,68500
2009-03-06,1.560000,1.680000,1.560000,1.640000,1.484491,19700
2009-03-09,1.550000,1.690000,1.550000,1.600000,1.448284,43800
2009-03-10,1.550000,1.740000,1.550000,1.690000,1.529749,26900
